,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,10.4,19.6,0,5.2,9.1,SSE,31,00:20,15.0,63,3,WNW,11,1025.3,19.1,48,3,ENE,17,1021.7
,2020-09-2,9.4,24.1,0,4.6,7.3,NNW,39,13:57,13.8,72,7,W,9,1021.3,23.5,36,7,N,19,1016.0
,2020-09-3,13.8,30.5,0,6.4,9.3,NNW,59,11:01,23.8,38,1,NNW,28,1016.4,28.6,30,7,NNW,26,1012.6
,2020-09-4,18.4,20.7,0,9.0,0.0,WNW,28,21:14,20.7,53,7,W,11,1017.8,17.4,83,7,SSE,4,1014.1
,2020-09-5,12.9,22.3,6.4,0.8,9.8,W,41,10:30,16.2,69,0,W,19,1017.2,21.6,34,2,ESE,17,1016.8
,2020-09-6,10.5,21.2,0.2,4.6,9.5,ENE,28,20:32,15.5,79,2,WNW,11,1028.8,19.9,56,3,ENE,19,1027.4
,2020-09-7,11.3,22.7,0.2,4.8,10.6,NE,39,16:16,16.2,76,1,W,9,1032.0,21.1,58,0,NE,22,1029.2
,2020-09-8,11.3,23.5,0,6.4,9.6,NNE,33,17:04,16.2,73,7,W,4,1030.0,22.1,59,7,NE,17,1024.7
,2020-09-9,14.9,16.1,0,5.8,0.0,SSW,57,04:04,15.2,89,8,SSE,26,1028.3,14.2,89,8,SSW,9,1026.9
,2020-09-10,12.2,19.4,,4.4,9.1,ESE,44,09:01,16.1,62,5,ESE,22,1029.6,17.8,48,3,SE,28,1028.2
,2020-09-11,12.7,20.7,0.2,5.8,7.8,ESE,28,02:03,16.3,78,6,WNW,9,1031.9,20.3,57,2,ENE,20,1028.7
,2020-09-12,10.9,22.7,,5.2,10.7,NE,41,16:40,17.2,66,1,NNW,20,1028.1,21.8,54,1,NE,22,1023.7
,2020-09-13,11.7,25.6,0,7.4,4.7,W,50,15:45,17.1,67,7,W,13,1023.4,24.0,34,7,WNW,24,1020.4
,2020-09-14,12.1,22.1,0,1.8,10.8,ESE,30,11:36,18.8,68,1,SSW,7,1025.3,20.3,66,3,ESE,20,1023.9
,2020-09-15,14.9,22.9,0,5.0,6.4,NE,39,17:06,18.9,78,8,NE,13,1029.2,21.9,62,1,NE,22,1025.1
,2020-09-16,14.0,24.2,0,4.8,10.8,NE,41,15:30,18.8,80,0,E,6,1024.5,23.6,62,3,NE,24,1018.3
,2020-09-17,16.0,31.7,0,7.0,9.8,S,76,17:21,21.5,58,6,W,13,1022.2,30.9,31,7,NW,9,1018.6
,2020-09-18,14.7,18.2,0,6.6,0.0,S,33,00:44,16.4,84,7,S,11,1032.2,17.8,80,8,SE,7,1029.3
,2020-09-19,15.3,23.0,4.4,0.2,4.6,NE,48,23:11,17.5,96,7,WNW,6,1027.6,21.2,81,7,E,24,1022.3
,2020-09-20,16.2,23.5,2.4,5.8,4.9,NNE,43,14:51,16.2,94,8,NNE,9,1016.7,21.2,75,3,NNE,26,1011.1
,2020-09-21,15.5,29.2,7.8,2.0,9.5,N,37,10:53,23.5,70,1,N,20,1011.5,25.4,64,6,NE,26,1006.5
,2020-09-22,19.3,26.7,0,6.8,10.9,WNW,54,13:54,21.8,37,1,WSW,24,1010.4,26.4,22,1,WNW,28,1007.9
,2020-09-23,14.0,24.2,0,9.4,10.1,NW,46,14:34,20.3,39,1,W,7,1012.4,23.1,28,3,W,26,1009.3
,2020-09-24,12.3,21.9,0,6.0,10.9,W,52,10:06,17.0,41,1,WNW,26,1013.8,21.8,26,2,W,26,1010.8
,2020-09-25,12.9,24.3,0,7.8,9.1,WSW,106,16:55,19.3,40,1,N,28,1007.1,22.6,27,7,NNW,33,999.0
,2020-09-26,10.0,18.0,1.4,9.2,11.3,W,69,12:46,13.3,38,3,W,43,1009.3,17.1,31,1,W,33,1010.6
,2020-09-27,10.6,18.9,0,7.2,10.3,W,46,07:36,14.8,46,1,W,24,1021.3,16.4,47,2,SSE,28,1022.2
,2020-09-28,8.8,20.2,0,7.6,10.7,E,30,13:55,15.2,58,1,WNW,11,1028.1,19.3,53,1,E,20,1024.2
,2020-09-29,13.2,21.1,0,7.6,6.9,E,28,14:51,18.0,60,7,ENE,6,1027.8,18.8,52,1,E,19,1023.0
,2020-09-30,11.8,20.8,0,5.4,1.4,NNW,30,17:29,18.2,64,7,NNE,20,1019.8,18.6,68,8,NE,13,1013.8
,2020-08-1,6.8,20.3,0,2.8,9.8,W,24,03:55,9.2,92,1,WNW,15,1027.1,17.4,63,3,E,17,1022.9
,2020-08-2,7.2,20.1,0,2.6,8.9,W,26,08:05,10.9,81,1,WNW,22,1025.5,18.6,51,5,ESE,13,1022.6
,2020-08-3,7.5,21.8,0,3.2,6.6,W,24,06:28,9.9,93,6,WNW,19,1020.3,20.1,41,7,ESE,7,1014.7
,2020-08-4,8.8,21.5,0,3.4,8.7,W,48,16:25,13.0,64,1,NW,4,1011.8,19.9,38,7,NW,22,1007.5
,2020-08-5,6.4,18.1,0,5.2,10.0,WSW,57,22:26,10.3,49,1,NW,24,1013.4,17.8,26,1,WNW,24,1011.2
,2020-08-6,6.7,17.6,0,4.0,9.9,W,43,10:20,9.9,56,1,W,20,1019.1,15.8,39,4,SE,17,1018.3
,2020-08-7,8.9,13.6,0,3.4,0.0,ESE,37,12:44,11.7,87,8,WNW,17,1022.3,12.2,97,8,SE,13,1018.4
,2020-08-8,11.2,15.8,28.6,1.6,1.0,W,41,22:40,12.4,100,7,W,20,1014.2,14.3,88,7,W,9,1010.6
,2020-08-9,8.5,14.7,6.0,2.6,1.6,NW,57,18:25,11.2,77,7,W,22,1011.7,10.5,95,8,W,30,1007.5
,2020-08-10,9.1,16.8,36.2,1.6,4.6,SSE,74,06:39,14.6,69,2,SSE,39,1015.7,15.2,59,7,SSW,15,1017.7
,2020-08-11,10.2,18.2,2.0,3.2,4.8,W,31,03:45,12.0,87,7,WNW,17,1021.7,16.5,64,6,ESE,4,1018.4
,2020-08-12,10.2,18.6,0,2.8,1.3,NNE,48,19:46,13.2,89,7, ,Calm,1016.9,17.6,60,7,N,7,1012.0
,2020-08-13,9.8,23.3,1.2,1.0,9.1,W,31,02:16,13.4,98,1,N,2,1014.5,23.1,44,3,WNW,11,1012.3
,2020-08-14,10.5,17.6,0,2.8,1.8,W,20,06:44,13.3,88,7,WNW,15,1016.0,17.1,72,8,WNW,4,1012.5
,2020-08-15,11.8,20.6,3.2,0.6,7.7,WSW,56,15:30,14.4,91,2,W,20,1007.5,19.8,46,6,W,30,1004.9
,2020-08-16,12.4,20.6,2.0,6.0,8.1,W,59,15:26,14.6,70,6,W,15,1007.1,19.2,39,3,W,35,1004.3
,2020-08-17,10.1,21.0,0.2,5.2,10.8,W,44,10:11,14.7,64,1,W,20,1008.9,20.4,41,1,W,24,1006.0
,2020-08-18,10.8,21.3,0,5.4,8.9,WNW,41,12:25,14.6,62,6,NW,15,1006.8,19.6,46,6,W,19,1001.7
,2020-08-19,11.1,21.4,0,4.0,9.7,W,83,17:08,16.7,57,1,N,28,997.4,19.4,33,4,NW,30,992.2
,2020-08-20,11.3,18.7,0,7.0,10.8,W,69,12:52,14.1,49,1,NW,26,1000.8,17.7,37,1,WNW,39,1002.1
,2020-08-21,9.7,18.4,0,5.4,9.6,NW,52,12:29,14.5,56,1,NW,17,1007.4,17.6,41,7,WNW,31,1003.8
,2020-08-22,9.3,15.8,0,6.6,10.3,NW,56,10:06,11.1,56,4,WNW,22,1004.4,14.6,34,6,WNW,35,1002.3
,2020-08-23,8.9,17.3,0,3.0,10.8,WNW,69,12:52,12.1,51,1,W,39,1007.2,16.2,37,2,WSW,39,1007.3
,2020-08-24,8.4,19.6,0,5.4,11.0,W,50,00:32,11.7,48,0,W,28,1019.0,18.0,37,1,SE,17,1018.7
,2020-08-25,6.2,18.9,0,4.0,10.7,W,33,07:38,10.7,56,1,W,22,1027.2,14.7,55,1,SSE,19,1026.1
,2020-08-26,6.2,20.1,0,3.8,10.8,W,28,02:54,10.6,67,1,WNW,20,1030.6,17.3,51,0,E,20,1026.7
,2020-08-27,6.6,22.4,0,3.0,10.8,NNW,28,17:35,10.7,68,1,WNW,20,1026.8,22.1,22,1,E,13,1020.7
,2020-08-28,10.7,19.6,0,7.4,10.7,SW,41,05:43,14.6,37,1,SW,19,1024.1,17.9,32,0,SE,15,1025.0
,2020-08-29,7.4,22.3,0,4.6,10.9,W,22,04:53,12.5,65,0,WNW,15,1030.7,19.7,47,0,E,17,1026.9
,2020-08-30,8.2,24.7,0,5.0,11.0,WNW,20,09:10,12.5,72,0,WNW,15,1025.4,24.1,47,0,ESE,13,1018.4
,2020-08-31,12.5,22.6,0,6.8,9.2,SSE,57,13:19,18.9,56,1,NW,13,1018.0,,,1,SSE,37,1018.1
